Enhancement_ID,Detachment_ID,Enhancement_Name,Points,Short_Description,Long_Description,Tags
orks_war_horde_enhancement_headwoppas_killchoppa,orks_war_horde,HEADWOPPA'S KILLCHOPPA,15,"ORKS model only. If this unit charged this turn, this model’s melee attacks have +1 AP.","ORKS model only. If this unit made a charge move this turn, this model's melee attacks have +1 AP.",
orks_war_horde_enhancement_da_boss_is_watchin,orks_war_horde,DA BOSS IS WATCHIN',25,"ORKS model only. Once per battle, per army: in your Movement phase, this unit is RILED UP until the start of your next turn.","ORKS model only. (Once per battle, per army) In your Movement phase, you can use this ability. If you do, this unit is RILED UP until the start of your next turn.",
orks_war_horde_enhancement_kunnin_but_brutal,orks_war_horde,KUNNIN' BUT BRUTAL,20,ORKS model only. Fall Back does not prevent this unit from shooting or charging.,"ORKS model only. When this unit is selected to make a fall-back move, that fall-back move does not prevent this unit from being eligible to shoot / declare a charge.",
orks_war_horde_enhancement_follow_me_ladz,orks_war_horde,FOLLOW ME LADZ,20,"ORKS model only. This unit has +2"" M.","ORKS model only. This unit has +2"" M.",
orks_freebooter_krew_enhancement_bionik_workshop,orks_freebooter_krew,Bionik Workshop,15,"BIG MEK or PAINBOY. At Battle’s start, roll D3 to determine Bionik ability: 
1) Bionik Legs +2″ to Move 
2) Bionik Arms +1 Strength in melee 
3) Bionik Bonce WS +1","BIG MEK or Painboy model only. At the start of the battle, roll one D3 and compare the result to the list below. Until the end of the battle, models in the bearer’s unit have that bioniks ability: 1. Bionik Legs – add 2″ to the Move characteristic of this model; 2. Bionik Arms – add 1 to the Strength characteristic of melee weapons equipped by this model; 3. Bionik Bonce – improve the Weapon Skill characteristic of melee weapons equipped by this model by 1.",
orks_rollin_deff_enhancement_boarding_ramps_1,orks_rollin_deff,Boarding Ramps 1,10,WAGON. Units disembarking gain +1 to Charge until end of turn.,"WAGON unit only. When a unit embarked within this unit is selected to make a disembark move, that unit has +1 to charge rolls until the end of the turn.",
orks_rollin_deff_enhancement_boarding_ramps_2,orks_rollin_deff,Boarding Ramps 2,10,WAGON. Units disembarking gain +1 to Charge until end of turn.,"WAGON unit only. When a unit embarked within this unit is selected to make a disembark move, that unit has +1 to charge rolls until the end of the turn.",
orks_more_dakka_enhancement_da_gobshot_thunderbuss,orks_more_dakka,Da Gobshot Thunderbuss,15,ORKS INFANTRY model. Ranged have [DEVASTATING WOUNDS] and [HAZARDOUS].,ORKS INFANTRY model only. This model’s ranged attacks have [DEVASTATING WOUNDS] and [HAZARDOUS].,
orks_freebooter_krew_enhancement_da_kaptin,orks_freebooter_krew,Da Kaptin,10,"ORKS. Once per battle round, friendly battle‑shocked ORKS within 12″; suffers D3 mortals and no longer battle‑shocked.","ORKS model only. Once per battle round, at the start of any phase, you can select one friendly ORKS unit that is battle‑shocked and within 12″ of the bearer. That unit suffers D3 mortal wounds and is no longer battle‑shocked.",
orks_more_dakka_enhancement_dead_shiny_shootas,orks_more_dakka,Dead Shiny Shootas,15,"ORKS INFANTRY. Ranged have [RAPID FIRE 1]; if already [RAPID FIRE], then +1 Rapid Fire.","ORKS INFANTRY unit only. This unit’s ranged attacks have [RAPID FIRE 1], or if that attack already has [RAPID FIRE], +1 to the value of that [RAPID FIRE] (e.g. [RAPID FIRE 1] becomes [RAPID FIRE 2]).",
orks_freebooter_krew_enhancement_git_spotter_squig,orks_freebooter_krew,Git‑Spotter Squig,20,ORKS. Ranged weapons in bearer’s unit [IGNORES COVER].,ORKS model only. Ranged weapons equipped by models in the bearer’s unit have the [IGNORES COVER] ability.,
orks_freebooter_krew_enhancement_razgits_magik_map,orks_freebooter_krew,Razgit’s Magik Map,25,"ORKS. After deployment, redeploy up to three ORKS INFANTRY; they may go to Reserves regardless of limits.","ORKS model only. After both players have deployed their armies, select up to three ORKS INFANTRY units from your army and redeploy them. When doing so, you can set those units up in Strategic Reserves, regardless of how many units are already in Strategic Reserves.",
orks_rollin_deff_enhancement_targetin_gizmos,orks_rollin_deff,Targetin’ Gizmos,15,"WAGON. With BIG MEK embarked, ranged attacks IGNORE COVER 

If Waaagh! is active, they also gain SUSTAINED HITS 1","WAGON unit only. While a BIG MEK model is embarked within this unit, this unit’s ranged attacks have [IGNORES COVER]. If the Waaagh! is active for this unit, this unit’s ranged attacks also have [SUSTAINED HITS 1].",
orks_green_tide_enhancement_ferocious_show_off,orks_green_tide,FEROCIOUS SHOW-OFF,15,"ORKS INFANTRY model.
Melee +1 A, or +2 A if 11+ models.","ORKS INFANTRY model only. This model's melee attacks have:
- +1 A
- Or, if this unit has 11+ models, +2 A.",
orks_green_tide_enhancement_ardboyz,orks_green_tide,'ARDBOYZ (UP),25,BOYZ unit  4+ Save,BOYZ unit only. This unit has 4+ Sv.,
