Stratagem_ID,Detachment_ID,Stratagem_Name,CP_Cost,Short_Description,Tiny_Description,Long_Description,Tags,Default_Active,Required_Keywords,Any_Keywords,Excluded_Keywords
space_marines_gladius_task_force_stratagem_armour_of_contempt_1cp,space_marines_gladius_task_force,ARMOUR OF CONTEMPT,1,"Enemy SHOOTING / FIGHT
When targeted: Attacks against this unit have -1 AP until that enemy unit has attacked.",Incoming AP worsens by 1,"WHEN: Your opponent’s Shooting phase or the Fight phase, when an enemy unit targets a friendly ADEPTUS ASTARTES unit.
TARGET: That ADEPTUS ASTARTES unit.
EFFECT: Attacks that target your unit have -1 AP until that enemy unit has attacked.","SHOOT, MELEE",0,,,
space_marines_gladius_task_force_stratagem_adaptive_strategy_1cp,space_marines_gladius_task_force,ADAPTIVE STRATEGY,1,"COMMAND phase
Select different doctrine",Switch combat doctrine,"WHEN: Your Command phase.
TARGET: One friendly ADEPTUS ASTARTES unit.
EFFECT: Select one combat doctrine. That combat doctrine is active for your unit until the start of your next Command phase.",,0,,,
space_marines_gladius_task_force_stratagem_a_worthy_death_1cp,space_marines_gladius_task_force,A WORTHY DEATH,1,Fight on Death 4+,Fight on Death 4+,"WHEN: Fight phase, when an enemy unit targets a friendly ADEPTUS ASTARTES unit.
TARGET: That ADEPTUS ASTARTES unit.
EFFECT: When a model in your unit is destroyed, if your unit has not been selected to fight this phase, roll one D6:
On a 4+, do not remove that model from the battlefield. When your unit has fought, or at the end of the phase (whichever comes first), that model is removed from the battlefield.",MELEE,0,,,
space_marines_gladius_task_force_stratagem_storm_of_devastation_1cp,space_marines_gladius_task_force,STORM OF DEVASTATION,1,RANGED: IGNORES COVER [IGNORES COVER],Ranged ignores Cover,"WHEN: Your Shooting phase, when a friendly ADEPTUS ASTARTES unit is selected to shoot.
TARGET: That ADEPTUS ASTARTES unit.
EFFECT: Your unit’s ranged attacks have [IGNORES COVER].","SHOOT, [IGNORES COVER]",0,,,
space_marines_gladius_task_force_stratagem_might_of_angels_1cp,space_marines_gladius_task_force,MIGHT OF ANGELS,1,MELEE: LANCE [LANCE],Melee gains Lance,"WHEN: Fight phase, when a friendly ADEPTUS ASTARTES unit is selected to fight.
TARGET: That ADEPTUS ASTARTES unit.
EFFECT: Your unit’s melee attacks have [LANCE].","MELEE, [LANCE]",0,,,
space_marines_gladius_task_force_stratagem_responsive_tactics_1cp,space_marines_gladius_task_force,RESPONSIVE TACTICS,1,"Enemy MOVEMENT within 8”
INFANTRY / MOUNTED
Reactive Move D6”",Reactive Move D6”,"WHEN: Your opponent’s Movement phase, when an enemy unit ends a move within 8"" of a friendly unengaged ADEPTUS ASTARTES INFANTRY/MOUNTED unit.
TARGET: That ADEPTUS ASTARTES INFANTRY/MOUNTED unit.
EFFECT: Your unit can make a normal move of up to D6"".",,0,,,
space_marines_assault_brethren_stratagem_armour_of_contempt_1cp,space_marines_assault_brethren,ARMOUR OF CONTEMPT,1,"Enemy SHOOTING / FIGHT
Attacks: -1 AP",Incoming AP worsens by 1,"WHEN: Your opponent's Shooting phase or the Fight phase, when an enemy unit targets a friendly ADEPTUS ASTARTES unit.

TARGET: That ADEPTUS ASTARTES unit.

EFFECT: Attacks that target your unit have -1 AP until that enemy unit has attacked.","OTHER, MELEE",0,,,
space_marines_assault_brethren_stratagem_gene_wrought_might_1cp,space_marines_assault_brethren,GENE-WROUGHT MIGHT,1,"FIGHT: MELEE have LANCE
In ASSAULT: LANCE & +1 AP [LANCE]",Melee Lance; Assault AP +1,"WHEN: Fight phase, when a friendly ADEPTUS ASTARTES unit is selected to fight.

TARGET: That ADEPTUS ASTARTES unit.

EFFECT: Your unit's melee attacks have:
• [LANCE].
• Or: If the assault doctrine is active for your unit, [LANCE] and +1 AP.","MELEE, [LANCE]",0,,,
space_marines_assault_brethren_stratagem_duty_in_death_1cp,space_marines_assault_brethren,DUTY IN DEATH,1,"Fight on Death 4+
In ASSAULT: Fight on Death 3+",Fight on Death 4+ / 3+,"WHEN: Fight phase, when an enemy unit targets a friendly ADEPTUS ASTARTES unit.

TARGET: That ADEPTUS ASTARTES unit.

EFFECT: When a model in your unit is destroyed, if your unit has not been selected to fight this phase, roll one D6, with +1 to that roll if the assault doctrine is active for your unit:
• On a 4+, do not remove that model from the battlefield. When your unit has fought, or at the end of the phase (whichever comes first), that model is removed from the battlefield.",MELEE,0,,,
space_marines_tactical_brethren_stratagem_armour_of_contempt_1cp,space_marines_tactical_brethren,ARMOUR OF CONTEMPT,1,"Enemy SHOOTING / FIGHT
Attacks: -1 AP",Incoming AP worsens by 1,"WHEN: Your opponent's Shooting phase or the Fight phase, when an enemy unit targets a friendly ADEPTUS ASTARTES unit.

TARGET: That ADEPTUS ASTARTES unit.

EFFECT: Attacks that target your unit have -1 AP until that enemy unit has attacked.","SHOOT, MELEE",0,,,
space_marines_tactical_brethren_stratagem_domination_fire_1cp,space_marines_tactical_brethren,DOMINATION FIRE,1,"SHOOTING: Enemy hit is SUPPRESSED
SUPPRESSED: -1 to Hit until your next turn",Hit enemy suffers Hit -1,"WHEN: Your Shooting phase, when a friendly ADEPTUS ASTARTES unit has shot.

TARGET: That ADEPTUS ASTARTES unit.

EFFECT: Select one enemy unit hit by those attacks. That enemy unit is suppressed until the start of your next turn:
• While a unit is suppressed, that unit's attacks have -1 to hit rolls.",SHOOT,0,,,
space_marines_tactical_brethren_stratagem_masterful_tactics_1cp,space_marines_tactical_brethren,MASTERFUL TACTICS,1,"INFANTRY / MOUNTED only
Enemy ends move within 8"": Move D6""
In TACTICAL: Move 6""",Reactive Move D6” / 6”,"WHEN: Your opponent's Movement phase, when an enemy unit ends a move within 8"" of a friendly unengaged ADEPTUS ASTARTES INFANTRY/MOUNTED unit.

TARGET: That ADEPTUS ASTARTES INFANTRY/MOUNTED unit.

EFFECT: Your unit can make a normal move of:
• Up to D6"".
• Or: If the tactical doctrine is active for your unit, up to 6"".",,0,,,
space_marines_devastator_brethren_stratagem_armour_of_contempt_1cp,space_marines_devastator_brethren,ARMOUR OF CONTEMPT,1,"Enemy SHOOTING / FIGHT
Attacks: -1 AP",Incoming AP worsens by 1,"WHEN: Your opponent's Shooting phase or the Fight phase, when an enemy unit targets a friendly ADEPTUS ASTARTES unit.

TARGET: That ADEPTUS ASTARTES unit.

EFFECT: Attacks that target your unit have -1 AP until that enemy unit has attacked.","SHOOT, MELEE",,,,
space_marines_devastator_brethren_stratagem_storm_of_fire_1cp,space_marines_devastator_brethren,STORM OF FIRE,1,"SHOOTING: RANGED IGNORE COVER
In DEVASTATOR: IGNORE COVER & +1 AP [IGNORES COVER]",Ignore Cover; Dev AP+1,"WHEN: Your Shooting phase, when a friendly ADEPTUS ASTARTES unit is selected to shoot.

TARGET: That ADEPTUS ASTARTES unit.

EFFECT: Your unit's ranged attacks have:
• [IGNORES COVER].
• Or: If the devastator doctrine is active for your unit, [IGNORES COVER] and +1 AP.","SHOOT, [IGNORES COVER]",,,,
space_marines_devastator_brethren_stratagem_hail_of_vengeance_2cp,space_marines_devastator_brethren,HAIL OF VENGEANCE,2,"Enemy SHOOTING destroys a model
Shoot back at that enemy unit",Destroyed model → Shoot back,"WHEN: Your opponent's Shooting phase, when an enemy unit has shot, if those attacks destroyed a model in a friendly ADEPTUS ASTARTES unit.

TARGET: That ADEPTUS ASTARTES unit.

EFFECT: Your unit shoots using normal shooting, but while doing so your unit can only target that enemy unit.",SHOOT,,,,
space_marines_terminator_stormforce_stratagem_tactical_dreadnought_fortitude_2cp,space_marines_terminator_stormforce,TACTICAL DREADNOUGHT FORTITUDE,2,"Enemy SHOOTING / FIGHT
TERMINATOR: Attacks -1 D [INCOMING -1 D]",Incoming Damage -1,"WHEN: Your opponent's Shooting phase or the Fight phase, when an enemy unit targets a friendly ADEPTUS ASTARTES TERMINATOR unit.

TARGET: That ADEPTUS ASTARTES TERMINATOR unit.

EFFECT: Attacks that target your unit have -1 D until that enemy unit has attacked.","SHOOT, MELEE, [INCOMING -1 D]",0,,"TERMINATOR, TERMINATORS",
