Stratagem_ID,Detachment_ID,Stratagem_Name,CP_Cost,Short_Description,Tiny_Description,Long_Description,Tags,Default_Active,Required_Keywords,Any_Keywords,Excluded_Keywords
orks_war_horde_stratagem_breakin_heads_1cp,orks_war_horde,BREAKIN' HEADS,1,Any phase: Attached INFANTRY takes D3 MW and is no longer Battle-shocked.,Any Phase - Clear Battle-shock,"WHEN: Any phase, when a friendly attached ORKS INFANTRY unit becomes battle-shocked.

TARGET: That ORKS INFANTRY unit. You can target that unit with this stratagem even though it is battle-shocked.

EFFECT: Roll one D3:
- Your unit suffers a number of mortal wounds equal to the result.
- Your unit is no longer battle-shocked.",,,"ORKS, INFANTRY",,
orks_war_horde_stratagem_hit_em_harder_1cp,orks_war_horde,HIT 'EM HARDER,1,Fight: Melee attacks gain [LETHAL HITS].,Fight - Lethal Hits,"WHEN: Fight phase, when a friendly ORKS unit is selected to fight.

TARGET: That ORKS unit.

EFFECT: Your unit's melee attacks have [LETHAL HITS].","MELEE, [LETHAL HITS]",,ORKS,,
orks_war_horde_stratagem_orks_is_never_beaten_1cp,orks_war_horde,ORKS IS NEVER BEATEN,1,"Fight: non-TITANIC fight-on-death 
on 4+ (3+ if RILED UP).",Enemy Fight - Fight on Death,"WHEN: Fight phase, when an enemy unit targets a friendly ORKS unit (excluding TITANIC units).

TARGET: That ORKS unit.

EFFECT: When a model in your unit is destroyed, if your unit has not been selected to fight this phase, roll one D6, with +1 to that roll if your unit is RILED UP.
- On a 4+, do not remove that model from the battlefield. When your unit has fought, or at the end of the phase (whichever comes first), that model is removed from the battlefield.",MELEE,,ORKS,,TITANIC
orks_war_horde_stratagem_mow_em_down_1cp,orks_war_horde,MOW 'EM DOWN,1,Fight: Charging non-WALKER VEHICLE melee gains [CLEAVE 1] (or +1 CLEAVE).,Charge - Cleave 1,"WHEN: Fight phase, when a friendly ORKS VEHICLE unit (excluding WALKER units) that made a charge move this turn is selected to fight.

TARGET: That ORKS VEHICLE unit.

EFFECT: Your unit's melee attacks have:
- [CLEAVE 1]
- Or if that attack already has [CLEAVE], +1 to the value of that [CLEAVE] (e.g. [CLEAVE 1] becomes [CLEAVE 2]).","MELEE, [CLEAVE 1]",,"ORKS, VEHICLE",,WALKER
orks_war_horde_stratagem_fungus_fuel_injection_1cp,orks_war_horde,FUNGUS-FUEL INJECTION,1,Movement: MOUNTED / VEHICLE [+2 M”],Move +2”,"WHEN: Your Movement phase, when a friendly ORKS MOUNTED / VEHICLE unit is selected to move.

TARGET: That ORKS MOUNTED / VEHICLE unit.

EFFECT: Your unit has +2"" M.",[+2 M”],,ORKS,"MOUNTED, VEHICLE",
orks_war_horde_stratagem_close_range_dakka_1cp,orks_war_horde,CLOSE-RANGE DAKKA,1,Shooting: ORKS unit’s ranged attacks gain [RAPID FIRE 1] (or +1 RAPID FIRE).,Shoot - Rapid Fire +1,"WHEN: Your Shooting phase, when a friendly ORKS unit is selected to shoot.

TARGET: That ORKS unit.

EFFECT: Your unit's ranged attacks have:
- [RAPID FIRE 1]
- Or if that attack already has [RAPID FIRE], +1 to the value of that [RAPID FIRE] (e.g. [RAPID FIRE 1] becomes [RAPID FIRE 2]).","SHOOT, [RAPID FIRE 1]",,ORKS,,
orks_freebooter_krew_stratagem_bash_and_grab_1cp,orks_freebooter_krew,Bash and Grab,1,FIGHT: ORKS within loot objective [RE-ROLL ALL WOUNDS],Fight - Re-roll Wounds,"WHEN: The Fight phase.

TARGET: One ORKS unit from your army that has not been selected to fight this phase.

EFFECT: Until the end of the phase, each time a model in your unit makes an attack that targets an enemy unit within range of the loot objective, you can re‑roll the wound roll.","MELEE, [RE-ROLL ALL WOUNDS]",,ORKS,,
orks_freebooter_krew_stratagem_boardin_rush_1cp,orks_freebooter_krew,Boardin’ Rush,1,MOVEMENT: ORKS Advance [+6 M”] instead of rolling.,Advance +6”,"WHEN: Your Movement phase.

TARGET: One ORKS unit from your army that has not been selected to move this phase.

EFFECT: Until the end of the phase, each time your unit Advances, do not make an Advance roll. Instead, until the end of the phase, add 6″ to the Move characteristic of models in your unit.",[+6 M”],,ORKS,,
orks_rollin_deff_stratagem_brutal_broadside_1cp,orks_rollin_deff,Brutal Broadside,1,"SHOOTING: BATTLEWAGONs ranged attacks (excluding Firing Deck) have [RAPID FIRE X], where X equals the attack’s A.",Shoot - Rapid Fire = A,"WHEN: Your Shooting phase, when a friendly BATTLEWAGON unit is selected to shoot.

TARGET: That BATTLEWAGON unit.

EFFECT: Your unit’s ranged attacks (excluding attacks made by weapons selected with Firing Deck) have [RAPID FIRE X], where X is that attack’s A.",SHOOT,,BATTLEWAGON,,
orks_more_dakka_stratagem_call_dat_dakka_1cp,orks_more_dakka,Call Dat Dakka?,1,"ENEMY SHOOTING: After enemy shot, ORKS INFANTRY can shoot back. Snap shooting but may only target that enemy.",Enemy Shoot - Shoot Back,"WHEN: Your opponent’s Shooting phase, when an enemy unit that targeted a friendly ORKS INFANTRY unit has shot.

TARGET: That ORKS INFANTRY unit.

EFFECT: Your unit shoots using snap shooting, but while doing so your unit can only target that enemy unit.",SHOOT,,"ORKS, INFANTRY",,
orks_freebooter_krew_stratagem_deck_fraggers_1cp,orks_freebooter_krew,Deck Fraggers,1,SHOOTING: ORKS ranged get [BLAST] when targeting INFANTRY.,Shoot - Blast vs Infantry,"WHEN: Your Shooting phase.

TARGET: One ORKS unit from your army that has not been selected to shoot this phase.

EFFECT: Until the end of the phase, each time a model in your unit targets an INFANTRY unit with a ranged weapon, that weapon has the [BLAST] ability.","SHOOT, [BLAST]",,ORKS,,
orks_rollin_deff_stratagem_devastating_drift_1cp,orks_rollin_deff,Devastating Drift,1,FIGHT: WAGON that charged this turn — MELEE [CLEAVE 1],Charge - Cleave 1,"WHEN: Your Fight phase, when a friendly WAGON unit that made a charge move this turn is selected to fight.

TARGET: That WAGON unit.

EFFECT: Your unit’s melee attacks have [CLEAVE 1].","MELEE, [CLEAVE 1]",,WAGON,,
orks_freebooter_krew_stratagem_grab_and_bash_1cp,orks_freebooter_krew,Grab and Bash,1,"COMMAND: ORKS* within loot objective get the Waaagh! until next Command phase.
*Excludes Gretchin.",Command - Waaagh on Objective,"WHEN: Your Command phase.

TARGET: One ORKS unit from your army (excluding Gretchin units) that is within range of the loot objective.

EFFECT: Until the start of your next Command phase, the Waaagh! is active for your unit, even if you have already called a Waaagh! this battle.",,,ORKS,,GRETCHIN
orks_rollin_deff_stratagem_impending_crunch_1cp,orks_rollin_deff,Impending Crunch,1,"WAGON CHARGE
EVERY enemy Battle-shock at -1.",Charge - Enemy Battle-shock -1,"WHEN: Your Charge phase, when a friendly WAGON unit ends a charge move.

TARGET: That WAGON unit.

EFFECT: Each enemy unit engaged with your unit makes a battle‑shock roll, with –1 to that battle‑shock roll.",,0,WAGON,,
orks_freebooter_krew_stratagem_krump_and_run_1cp,orks_freebooter_krew,Krump and Run,1,"ENEMY MOVEMENT: After an enemy falls back, ORKS that was engaged can make a normal move of up to 6″.",Enemy Move - Follow 6”,"WHEN: Your opponent’s Movement phase, just after an enemy unit falls back.

TARGET: One ORKS unit from your army that was within engagement range of that enemy unit at the start of the phase and is not within range of one or more enemy units.

EFFECT: Your unit can make a normal move of up to 6″.",,,ORKS,,
orks_more_dakka_stratagem_long_uncontrolled_bursts_1cp,orks_more_dakka,"Long, Uncontrolled Bursts",1,SHOOTING: ORKS INFANTRY ranged have [IGNORES COVER].,Shoot - Ignores Cover,"WHEN: Your Shooting phase, when a friendly ORKS INFANTRY unit is selected to shoot.

TARGET: That ORKS INFANTRY unit.

EFFECT: Your unit’s ranged attacks have [IGNORES COVER].","SHOOT, [IGNORES COVER]",,"ORKS, INFANTRY",,
orks_freebooter_krew_stratagem_rolling_loot_heap_1cp,orks_freebooter_krew,Rolling Loot‑Heap,1,SHOOTING: Flash Gitz ranged [ANTI-VEHICLE 4+] for the phase.,Shoot - Anti-Vehicle 4+,"WHEN: Your Shooting phase.

TARGET: One Flash Gitz unit from your army that has not been selected to shoot this phase.

EFFECT: Until the end of the phase, ranged weapons equipped by models in your unit have the [ANTI‑VEHICLE 4+] ability.","SHOOT, [ANTI-VEHICLE 4+]",,FLASH GITZ,,
orks_more_dakka_stratagem_speshul_shells_1cp,orks_more_dakka,Speshul Shells,1,"SHOOTING INFANTRY 
RANGE vs target within 9″ [+1 AP]",Shoot - AP +1 within 9”,"WHEN: Your Shooting phase, when a friendly ORKS INFANTRY unit is selected to shoot.

TARGET: That ORKS INFANTRY unit.

EFFECT: Your unit’s ranged attacks that target a unit within 9″ have +1 AP.","SHOOT, [+1 AP]",,"ORKS, INFANTRY",,
orks_green_tide_stratagem_unbridled_carnage_1cp,orks_green_tide,UNBRIDLED CARNAGE,1,CHARGE: BOYZ melee [+1 A],Charge - Melee A +1,"WHEN: Fight phase, when a friendly BOYZ unit that made a charge move this turn is selected to fight.

TARGET: That BOYZ unit.

EFFECT: Unit's melee attacks have +1 A.","MELEE, [+1 A]",,BOYZ,,
orks_green_tide_stratagem_mob_mentality_1cp,orks_green_tide,MOB MENTALITY,1,"COMMAND: INFANTRY 13+ models auto-pass Battleshock for any another visible ORKS within 12"".",Command - Auto-pass Battle-shock,"WHEN: Start of the Battle-shock step of your Command phase.

TARGET: One friendly ORKS INFANTRY unit of 13+ models.

EFFECT: Select one visible friendly ORKS unit within 12"" of your unit. That unit's battle-shock rolls are automatically successful.",,,"ORKS, INFANTRY",,
orks_green_tide_stratagem_ere_we_go_1cp,orks_green_tide,'ERE WE GO,1,"MOVE: BEAST SNAGGA / BOYZ 
+2 to Advance rolls.",Move - Advance +2,"WHEN: Your Movement phase, when a friendly BEAST SNAGGA BOYZ / BOYZ unit is selected to move.

TARGET: That BEAST SNAGGA BOYZ / BOYZ unit.

EFFECT: Your unit has +2 to advance rolls.",,0,,"BEAST SNAGGA BOYZ, BOYZ",
orks_bully_boyz_stratagem_too_arrogant_to_die_1cp,orks_bully_boyz,TOO ARROGANT TO DIE,1,"MEGANOBZ / NOBZ
MELEE: Fight-on-death on 4+
RILED UP on 3+",Enemy Fight - Fight on Death,"WHEN: Fight phase, when an enemy unit targets a friendly MEGANOBZ / NOBZ unit.

TARGET: That MEGANOBZ / NOBZ unit.

EFFECT: When a model in your unit is destroyed, if your unit has not been selected to fight this phase, roll one D6, with +1 to that roll if your unit is RILED UP:
- On a 4+, do not remove that model from the battlefield. When your unit has fought, or at the end of the phase (whichever comes first), that model is removed from the battlefield.",MELEE,,,"MEGANOBZ, MEGA ARMOUR, NOBZ",
orks_bully_boyz_stratagem_armed_to_da_teef_1cp,orks_bully_boyz,ARMED TO DA TEEF,1,"MEGANOBZ / NOBZ
SHOOT or MELEE: [RE-ROLL 1S TO HIT]
If RILED UP: [RE-ROLL ALL HITS]",Attack - Re-roll Hits,"WHEN: Your Shooting phase or the Fight phase, when a friendly MEGANOBZ / NOBZ unit is selected to attack.

TARGET: That MEGANOBZ / NOBZ unit.

EFFECT: Your unit's attacks can:
- Re-roll hit rolls of 1.
- If your unit is RILED UP, re-roll hit rolls.","SHOOT, MELEE, [RE-ROLL 1S TO HIT] [RE-ROLL ALL HITS] [RE-ROLL 1S TO HIT] [RE-ROLL ALL HITS]",,,"MEGANOBZ, MEGA ARMOUR, NOBZ",
orks_bully_boyz_stratagem_hulking_brutes_1cp,orks_bully_boyz,HULKING BRUTES,1,"Enemy SHOOTING
MEGANOBZ / NOBZ
1 CP: -1 To Wound for higher Strength
2 CP: -1 To Wound for any weapons [INCOMING RANGE -1 TO WOUND]",Enemy Shoot - Wound -1,"WHEN: Your opponent's Shooting phase, when an enemy unit targets a friendly MEGANOBZ / NOBZ unit.

TARGET: That MEGANOBZ / NOBZ unit.

EFFECT: Ranged attacks that target your unit with a S greater than your unit's T have -1 to wound rolls.

Or +1CP: Ranged attacks that target your unit have -1 to wound rolls.","SHOOT, [INCOMING RANGE -1 TO WOUND]",,,"MEGANOBZ, MEGA ARMOUR, NOBZ",
orks_taktikal_brigade_stratagem_dubious_restraint_1cp,orks_taktikal_brigade,DUBIOUS RESTRAINT,1,Start/end of your Movement: BOYZ / KOMMANDOS / STORMBOYZ controlling an objective secures it.,Move - Secure Objective,"WHEN: Start/end of your Movement phase.

TARGET: One friendly BOYZ / KOMMANDOS / STORMBOYZ unit.

EFFECT: Select one objective your unit is controlling. That objective is secured.",,,,"BOYZ, KOMMANDOS, STORMBOYZ",
orks_taktikal_brigade_stratagem_mind_mostly_on_the_mission_1cp,orks_taktikal_brigade,MIND MOSTLY ON THE MISSION,1,Movement: BOYZ / KOMMANDOS / STORMBOYZ Advance/Fall Back can still start an action.,Move - Advance/Fall Back Action,"WHEN: Your Movement phase, when a friendly BOYZ / KOMMANDOS / STORMBOYZ unit is selected to make an advance/fall-back move.

TARGET: That BOYZ / KOMMANDOS / STORMBOYZ unit.

EFFECT: That move does not prevent your unit from being eligible to start an action.",,,,"BOYZ, KOMMANDOS, STORMBOYZ",
orks_taktikal_brigade_stratagem_while_their_backs_are_turned_1cp,orks_taktikal_brigade,WHILE THEIR BACKS ARE TURNED,1,"End of opponent's Movement: unengaged BOYZ / KOMMANDOS / STORMBOYZ that was engaged can Normal move 6"".",Enemy Move - Normal Move 6”,"WHEN: End of your opponent's Movement phase.

TARGET: One friendly unengaged BOYZ / KOMMANDOS / STORMBOYZ unit that was engaged at the start of the phase.

EFFECT: Your unit can make a normal move of up to 6"".",,,,"BOYZ, KOMMANDOS, STORMBOYZ",
orks_wreckas_stratagem_drive_by_bustin_1cp,orks_wreckas,DRIVE-BY BUSTIN',1,"SHOOTING: TRANSPORT
Firing Deck [+1 TO HIT]",Shoot - Firing Deck Hit +1,"WHEN: Your Shooting phase, when a friendly ORKS TRANSPORT unit is selected to shoot.

TARGET: That ORKS TRANSPORT unit.

EFFECT: Your unit's ranged attacks with weapons selected for the Firing Deck ability have +1 to hit rolls.","SHOOT, [+1 TO HIT]",,"ORKS, TRANSPORT",,
