Detachment_ID,Army_Name,Detachment_Name,Item_Type,Item_ID,Item_Name,Points,CP_Cost,DP_Cost,Detachment_Disposition,Short_Description,Long_Description
FULGURIS_TASK_FORCE,Marines,Fulguris Task Force,DETACHMENT_RULE,FULGURIS_TASK_FORCE_DETACHMENT_RULE_SKYSTRIKE,SKYSTRIKE,,,1,Disruption,"LAND SPEEDER and STORM SPEEDER units gain SPEEDER. 
First Movement phase: SPEEDER units can make an ingress move.","Friendly LAND SPEEDER/STORM SPEEDER HAILSTRIKE/STORM SPEEDER HAMMERSTRIKE/STORM SPEEDER THUNDERSTRIKE units have SPEEDER.

In your first Movement phase, friendly SPEEDER units can make an ingress move."
space_marines_shadowmark_talon,Raven Guard,Shadowmark Talon,DETACHMENT_RULE,space_marines_shadowmark_talon_detachment_rule_detachment_rule,Shadow Masters,,,2,Disruption,"Cover & -1 To be Hit
Aethon: ONCE Free Into the Darkness.","Each time a ranged attack targets an ADEPTUS ASTARTES unit from your army, unless the attacking model is within 12"", subtract 1 from the Hit roll and the target has the Benefit of Cover against that attack.

Once per battle round, if an AETHON SHAAN model from your army is on the battlefield, you can use the Into Darkness Stratagem for 0CP."
space_marines_spearpoint_task_force,White Scars,Spearpoint Task Force,DETACHMENT_RULE,space_marines_spearpoint_task_force_detachment_rule_storm_swift_onslaught,Lightning Assault,,,2,Disruption,"Units can charge after Advancing or Falling Back. SUBODEN KHAN can move up to 6"" after destroying an enemy unit in the Fight phase.","ADEPTUS ASTARTES units from your army are eligible to declare a charge in a turn in which they Advanced or Fell Back.

At the end of the Fight phase, if a SUBODEN KHAN unit from your army destroyed one or more enemy units this phase and is not within Engagement Range of one or more enemy units, that unit can make a Normal move of up to 6"".

RESTRICTIONS: Your army can include WHITE SCARS units, but it cannot include any ADEPTUS ASTARTES units drawn from any other Chapter."
space_marines_stormlance_task_force,Marines,Stormlance Task Force,DETACHMENT_RULE,space_marines_stormlance_task_force_detachment_rule_detachment_rule,Lightning Assault,,,3,Disruption,Advance or Fallback and Charge.,ADEPTUS ASTARTES units from your army are eligible to declare a charge in a turn in which they Advanced or Fell Back.
space_marines_blade_of_ultramar,Ultramarines,Blade Of Ultramar,DETACHMENT_RULE,space_marines_blade_of_ultramar_detachment_rule_detachment_rule,MASTERED DOCTRINES,,,3,Priority Assets,"Marneus can select a doctrine a 2nd time

Devastator: Adv and Shoot.
Tactical: Fallback, Shoot and Charge
Assault: Adv and Charge.","At the start of your Command phase, you can select one of the Combat Doctrines listed below. Until the start of your next Command phase, that Combat Doctrine is active and its effects apply to all ADEPTUS ASTARTES units from your army. You cannot select a Combat Doctrine you have already selected this battle, unless a friendly Marneus Calgar model is on the battlefield.

Devastator Doctrine: This unit is eligible to shoot in a turn in which it Advanced.
Tactical Doctrine: This unit is eligible to shoot and declare a charge in a turn in which it Fell Back.
Assault Doctrine: This unit is eligible to declare a charge in a turn in which it Advanced."
DARK_AGE_ARSENAL,Dark Angels,Dark Age Arsenal,DETACHMENT_RULE,DARK_AGE_ARSENAL_DETACHMENT_RULE_INVOCATIONS_OF_ANCIENT_FURY,INVOCATIONS OF ANCIENT FURY,,,1,Priority Assets,Plasma weapon profiles have +1 S.,Friendly ADEPTUS ASTARTES units' weapon profiles with 'Plasma' in their names are plasma weapon profiles. Plasma weapon profiles have +1 S.
space_marines_emperors_shield,Imperial Fists,Emperor's Shield,DETACHMENT_RULE,space_marines_emperors_shield_detachment_rule_detachment_rule,Emperor's Shield,,,2,Priority Assets,"Re-rolls 1s To Wound vs Oath
Re-roll all To Wound with Lysander","Each time a model from your army with the Oath of Moment ability makes an attack that targets your Oath of Moment target, you can re-roll a Wound roll of 1.

Each time a model in a DARNATH LYSANDER unit from your army makes an attack that targets your Oath of Moment target, you can re-roll the Wound roll."
space_marines_gladius_task_force,Marines,Gladius Task Force,DETACHMENT_RULE,space_marines_gladius_task_force_detachment_rule_detachment_rule,Combat Doctrines,,,3,Priority Assets,"Devastator: Adv and Shoot.
Tactical: Fallback, Shoot and Charge
Assault: Adv and Charge.","At the start of your Command phase, you can select one of the Combat Doctrines listed below. Until the start of your next Command phase, that Combat Doctrine is active and its effects apply to all ADEPTUS ASTARTES units from your army. You can only select each Combat Doctrine once per battle.

Devastator Doctrine: This unit is eligible to shoot in a turn in which it Advanced.
Tactical Doctrine: This unit is eligible to shoot and declare a charge in a turn in which it Fell Back.
Assault Doctrine: This unit is eligible to declare a charge in a turn in which it Advanced."
iron_hands_hammer_of_avernii,Iron Hands,Hammer Of Avernii,DETACHMENT_RULE,iron_hands_hammer_of_avernii_detachment_rule_detachment_rule,CALCULATED ANNIHILATION,,,2,Priority Assets,"Oath Target: Re-roll 1s To Wound
Caanok: 2nd Oath Target (Visible)","Each time a model from your army with the Oath of Moment ability makes an attack that targets your Oath of Moment target, you can re-roll a Wound roll of 1.

Once per battle round, after your Oath of Moment target is destroyed, if a Caanok Var model from your army is on the battlefield, select one enemy unit visible to that model. That enemy unit becomes your Oath of Moment target until you select a new one."
dark_angels_inner_circle_task_force,Dark Angels,Inner Circle Task Force,DETACHMENT_RULE,dark_angels_inner_circle_task_force_detachment_rule_detachment_rule,Vowed Target,,,2,Priority Assets,Vowed Target (Objective): Defensive (Control) or Aggressive (No Control)    Deathwing INFANTRY: +1 To Wound (Range or Shoot),"At the start of your Movement phase, select one of the following:

Defensive Footing: Select one objective marker you control. Until the start of your next Movement phase, that objective marker is your Vowed objective marker.

Aggressive Push: Select one or more objective markers you do not control. Until the start of your next Movement phase, each of those objective markers is one of your Vowed objective markers. If a rule refers to a unit or model being within range of your Vowed objective marker, that rule takes effect if that unit or model is within range of one or more of your Vowed objective markers.

Each time a DEATHWING INFANTRY unit from your army makes an attack that targets a unit within range of one or more of your Vowed objective markers, add 1 to the Wound roll."
