Stratagem_ID,Detachment_ID,Stratagem_Name,CP_Cost,Short_Description,Long_Description
tyranids_ambush_predators_stratagem_counterpredation_1cp,tyranids_ambush_predators,Counterpredation,1,FIGHT: Attacks against a hidden unit have +1 Strength and AP.,"WHEN: Fight phase, when a friendly DEATHLEAPER/LICTOR/NEUROLICTOR/VON RYAN’S LEAPERS unit is selected to fight.

TARGET: That unit.

EFFECT: Your unit’s attacks that target a hidden unit have +1 Strength and AP."
tyranids_ambush_predators_stratagem_hypersensory_adaptations_1cp,tyranids_ambush_predators,Hypersensory Adaptations,1,"SHOOTING: Select a visible enemy within 12""; it has +6"" detection range until your unit has shot.","WHEN: Start of your Shooting phase.

TARGET: One friendly DEATHLEAPER/LICTOR/NEUROLICTOR/VON RYAN’S LEAPERS unit.

EFFECT: Select one visible enemy unit within 12"" of your unit. That enemy unit has +6"" detection range."
tyranids_ambush_predators_stratagem_scanner_gheist_1cp,tyranids_ambush_predators,Scanner Gheist,1,END OF ENEMY FIGHT: Place one unengaged DEATHLEAPER/LICTOR/NEUROLICTOR unit into strategic reserves.,"WHEN: End of your opponent’s Fight phase.

TARGET: One friendly unengaged DEATHLEAPER/LICTOR/NEUROLICTOR unit.

EFFECT: Place your unit in strategic reserves."
tyranids_invasion_fleet_stratagem_adrenal_surge,tyranids_invasion_fleet,Adrenal Surge,2,Critical Hits on 5+,"WHEN: Fight phase.

TARGET: Up to two Tyranids units from your army that are within Synapse Range of your army and are eligible to fight, or one other Tyranids unit from your army that is eligible to fight.

EFFECT: Until the end of the phase, each time a model in one of those selected units makes an attack, a successful unmodified Hit roll of 5+ scores a Critical Hit."
tyranids_invasion_fleet_stratagem_death_frenzy,tyranids_invasion_fleet,Death Frenzy,1,Fight on Death on 4+,"WHEN: Fight phase, just after an enemy unit has selected its targets.

TARGET: One Tyranids unit from your army that was selected as the target of one or more of the attacking unit’s attacks.

EFFECT: Until the end of the phase, each time a model in your unit is destroyed, if that model has not fought this phase, roll one D6: on a 4+, do not remove it from play. The destroyed model can fight after the attacking model’s unit has finished making attacks, and is then removed from play."
tyranids_invasion_fleet_stratagem_endless_swarm,tyranids_invasion_fleet,Endless Swarm,1,Bring back Gaunts,"WHEN: Your Command phase.

TARGET: Up to two Endless Multitude units from your army that are within Synapse Range of your army, or one other Endless Multitude unit from your army.

EFFECT: Up to D3+3 destroyed models are returned to each of the selected units."
tyranids_invasion_fleet_stratagem_overrun,tyranids_invasion_fleet,Overrun,1,Better Consolidation,"WHEN: Fight phase, just before a Tyranids unit from your army Consolidates.

TARGET: That Tyranids unit.

EFFECT: Until the end of the phase, each time a model in your unit makes a Consolidation move, it can move up to 6"" instead of up to 3"", provided your unit can end its Consolidation move in Unit Coherency and within Engagement Range of one or more enemy units. If your unit is within Synapse Range of your army and not within Engagement Range of any enemy units, instead of making that Consolidation move, it can instead make a Normal move of up to 6""."
tyranids_invasion_fleet_stratagem_predatory_imperative,tyranids_invasion_fleet,Predatory Imperative,1,Extra Hyper-adaptation until next Command phase.,"WHEN: Your Command phase.

TARGET: Up to two TYRANIDS units from your army that are within Synapse Range of your army, or one other TYRANIDS unit from your army.

EFFECT: Select one Hyper-adaptation. Until the start of your next Command phase, that Hyper-adaptation is active for those selected units in addition to any other that may be active for your army.

RESTRICTIONS: You cannot select the same Hyper-adaptation you selected at the start of the first battle round."
tyranids_invasion_fleet_stratagem_rapid_regeneration,tyranids_invasion_fleet,Rapid Regeneration,1,6+++ or 5+++,"WHEN: Your opponent’s Shooting phase or the Fight phase, just after an enemy unit has selected its targets.

TARGET: One Tyranids unit from your army that was selected as the target of one or more of the attacking unit’s attacks.

EFFECT: Until the end of the phase, models in your unit have the Feel No Pain 6+ ability. If your unit is within Synapse Range of your army, until the end of the phase, models in your unit have the Feel No Pain 5+ ability instead."
tyranids_subterranean_assault_stratagem_adaptive_optimisation,tyranids_subterranean_assault,Adaptive Optimisation,1,Mawloc & Trygons get SYNAPSE,"WHEN: Command phase.

TARGET: One Mawloc or Trygon unit from your army.

EFFECT: Until the start of your next Command phase, your unit has the Synapse keyword."
