Detachment_ID,Army_Name,Detachment_Name,Rule_ID,Rule_Name,DP_Cost,Detachment_Disposition,Detachment_Disposition_2,Short_Description,Long_Description,Tags,Tag Categories,Default_Active
orks_war_horde,Orks,War Horde,orks_war_horde_detachment_rule_get_stuck_in,GET STUCK IN,3,Take and Hold,Purge the Foe,ORKS melee [SUSTAINED HITS 1].,Friendly ORKS units' melee attacks have [SUSTAINED HITS 1].,[SUSTAINED HITS 1],[Melee - Weapon Rules],1
orks_more_dakka,Orks,More Dakka!,orks_more_dakka_detachment_rule_dakka_dakka_dakka,DAKKA! DAKKA! DAKKA!,1,Purge the Foe,,INFANTRY ranged have [ASSAULT].  In addition whe RILED UP ranged get  [SUSTAINED HITS 1],"Friendly ORKS INFANTRY units’ ranged attacks have [ASSAULT].

In your Shooting phase, if the Waaagh! is active for your army, friendly ORKS INFANTRY units’ ranged attacks have [SUSTAINED HITS 1].",[ASSAULT] [SUSTAINED HITS 1],[Range - Weapon Rules] [Range - Weapon Rules],0
orks_freebooter_krew,Orks,Freebooter Krew,orks_freebooter_krew_detachment_rule_here_be_loot,HERE BE LOOT,2,Take and Hold,,"Start of Command: Select Loot objective. ORKS INFANTRY, MOUNTED, WALKER attacks gain [SUSTAINED HITS 1] if they STAND in it or TARGET units within it. ","At the start of your Command phase, select one objective marker; until the start of your next Command phase, that marker is your loot objective. Each time a model in an ORKS INFANTRY, ORKS MOUNTED or ORKS WALKER unit from your army makes an attack, that attack has [SUSTAINED HITS 1] if the unit is within range of your loot objective or if the attack targets a unit within range of your loot objective.",,,
orks_rollin_deff,Orks,Rollin’ Deff,orks_rollin_deff_detachment_rule_thundering_wagons,THUNDERING WAGONS,1,Priority Assets,,"WAGON re‑rolls Charge & Advance flat 6"". 

BATTLEWAGON, HUNTA & KILL RIG.","Friendly BATTLEWAGON, HUNTA RIG, KILL RIG units have WAGON. 

Friendly WAGON units can re‑roll charge rolls. When a friendly WAGON unit is selected to make an advance move, that unit can change advance rolls to a 6. 

This detachment has the WAGONS tag and cannot be taken with another WAGONS detachment.",[RE-ROLL CHARGE] [ADVANCE 6],[Movement Rules] [Movement Rules],0
orks_green_tide,Orks,Green Tide,orks_green_tide_detachment_rule_mob_handed_brutality,MOB-HANDED BRUTALITY,1,Take and Hold,,"BOYZ melee [SUSTAINED HITS 1].

Charge, INFANTRY gains [LETHAL HITS: non-MONSTER / VEHICLE].","Friendly BOYZ units' melee attacks have [SUSTAINED HITS 1].

If a friendly ORKS INFANTRY unit made a charge move this turn, that unit's melee attacks have [LETHAL HITS: non-MONSTER / VEHICLE].",[SUSTAINED HITS 1] [LETHAL HITS],[Melee - Weapon Rules] [Melee - Weapon Rules],0
orks_bully_boyz,Orks,Bully Boyz,orks_bully_boyz_detachment_rule_displays_of_savagery,DISPLAYS OF SAVAGERY,1,Purge the Foe,,Friendly MEGANOBZ / NOBZ melee has [SUSTAINED HITS 1].,Friendly MEGANOBZ / NOBZ units' melee attacks have [SUSTAINED HITS 1].,[SUSTAINED HITS 1],[Melee - Weapon Rules],0
orks_taktikal_brigade,Orks,Taktikal Brigade,orks_taktikal_brigade_detachment_rule_suspiciously_well_organised,SUSPICIOUSLY WELL ORGANISED,1,Take and Hold,,STORMBOYZ have BATTLELINE. BOYZ / KOMMANDOS / STORMBOYZ can Fall Back and still charge.,"Friendly STORMBOYZ units have BATTLELINE.

When a friendly BOYZ / KOMMANDOS / STORMBOYZ unit is selected to make a fall-back move, that fall-back move does not prevent that unit from being eligible to declare a charge.",[FALL BACK AND CHARGE],[Movement Rules],0
orks_wreckas,Orks,Wreckas,orks_wreckas_detachment_rule_wreckin_and_lootin,WRECKIN' AND LOOTIN',1,Priority Assets,,BREAKA BOYZ / FLASH GITZ / TANKBUSTAS [Re-roll 1s To Hit] if they or their target are in range of an objective.,"In your Shooting phase, when a friendly BREAKA BOYZ / FLASH GITZ / TANKBUSTAS unit is selected to shoot, if any of the following apply, that unit's attacks can re-roll hit rolls of 1:
- That unit is within range of an objective.
- The target of that attack is within range of an objective.",[RE-ROLL 1S TO HIT] [RE-ROLL 1S TO HIT],[Melee - Combat Modifiers] [Range - Combat Modifiers],0
orks_da_big_hunt,Orks,Da Big Hunt,orks_da_big_hunt_detachment_rule_da_hunt_is_on,DA HUNT IS ON,1,Purge the Foe,,BEAST SNAGGA attacks that target MONSTER / VEHICLE have +1 AP.,Friendly BEAST SNAGGA units' attacks that target a MONSTER / VEHICLE unit have +1 AP.,[+1 AP] [+1 AP],[Melee - Weapon Stats] [Range - Weapon Stats],0
orks_madcap_meks,Orks,Madcap Meks,orks_madcap_meks_detachment_rule_unpredictable_genius,UNPREDICTABLE GENIUS,1,Disruption,,"When BIG MEK / MEK GUNZ / MORKANAUT / WAZBOM BLASTAJET puts all ranged attacks into one enemy, roll D6 table.","In your Shooting phase, when all of a friendly BIG MEK / MEK GUNZ / MORKANAUT / WAZBOM BLASTAJET unit's ranged attacks target a single enemy unit, roll one D6:

UNPREDICTABLE GENIUS
D6  RESULT
1  Dat's Weird: The target unit has 4+ InSv until your unit has shot.
2-3  Hop Splat: Select one other enemy unit within 3"" of the target. That unit suffers D3 mortal wounds.
4  Seekerz: Those attacks have +1 to hit rolls.
5  Lifted: The target unit has FLY, and cannot have the benefit of cover, until your unit has shot.
6  Runtified: The target unit has -1 T until your unit has shot.",[+1 TO HIT] [+1 TO HIT] [ENEMY -1 T],[Melee - Combat Modifiers] [Range - Combat Modifiers] [Informational - Enemy],0
